FIRSTLINE,이상해씨,이상해풀,이상해꽃,파이리,리자드,리자몽,꼬부기,어니부기,거북왕,캐터피,단데기,버터플,뿔충이,딱충이,독침붕,구구,피죤,피죤투,꼬렛,레트라,깨비참,깨비드릴조,아보,아보크,피카츄,라이츄,모래두지,고지,니드런♀,니드리나,니드퀸,니드런♂,니드리노,니드킹,삐삐,픽시,식스테일,나인테일,푸린,푸크린,주뱃,골뱃,뚜벅쵸,냄새꼬,라플레시아,파라스,파라섹트,콘팡,도나리,디그다,닥트리오,나옹,페르시온,고라파덕,골덕,망키,성원숭,가디,윈디,발챙이,슈륙챙이,강챙이,캐이시,윤겔라,후딘,알통몬,근육몬,괴력몬,모다피,우츠동,우츠보트,왕눈해,독파리,꼬마돌,데구리,딱구리,포니타,날쌩마,야돈,야도란,코일,레어코일,파오리,두두,두트리오,쥬쥬,쥬레곤,질퍽이,질뻐기,셀러,파르셀,고오스,고우스트,팬텀,롱스톤,슬리프,슬리퍼,크랩,킹크랩,찌리리공,붐볼,아라리,나시,탕구리,텅구리,시라소몬,홍수몬,내루미,또가스,또도가스,뿔카노,코뿌리,럭키,덩쿠리,캥카,쏘드라,시드라,콘치,왕콘치,별가사리,아쿠스타,마임맨,스라크,루주라,에레브,마그마,쁘사이저,켄타로스,잉어킹,갸라도스,라프라스,메타몽,이브이,샤미드,쥬피썬더,부스터,폴리곤,암나이트,암스타,투구,투구푸스,프테라,잠만보,프리져,썬더,파이어,미뇽,신뇽,망나뇽,뮤츠,뮤,치코리타,베이리프,메가니움,브케인,마그케인,블레이범,리아코,엘리게이,장크로다일,꼬리선,다꼬리,부우부,야부엉,레디바,레디안,페이검,아리아도스,크로뱃,초라기,랜턴,피츄,삐,푸푸린,토게피,토게틱,네이티,네이티오,메리프,보송송,전룡,아르코,마릴,마릴리,꼬지모,왕구리,통통코,두코,솜솜코,에이팜,해너츠,해루미,왕자리,우파,누오,에브이,블래키,니로우,야도킹,무우마,안농,마자용,키링키,피콘,쏘콘,노고치,글라이거,강철톤,블루,그랑블루,침바루,핫삼,단단지,헤라크로스,포푸니,깜지곰,링곰,마그마그,마그카르고,꾸꾸리,메꾸리,코산호,총어,대포무노,딜리버드,만타인,무장조,델빌,헬가,킹드라,코코리,코리갑,폴리곤2,노라키,루브도,배루키,카포에라,뽀뽀라,에레키드,마그비,밀탱크,해피너스,라이코,앤테이,스이쿤,애버라스,데기라스,마기라스,루기아,칠색조,세레비,나무지기,나무돌이,나무킹,아차모,영치코,번치코,물짱이,늪짱이,대짱이,포챠나,그라에나,지그제구리,직구리,개무소,실쿤,뷰티플라이,카스쿤,독케일,연꽃몬,로토스,로파파,도토링,잎새코,다탱구,테일로,스왈로,갈모매,패리퍼,랄토스,킬리아,가디안,비구술,비나방,버섯꼬,버섯모,게을로,발바로,게을킹,토중몬,아이스크,껍질몬,소곤룡,노공룡,폭음룡,마크탕,하리뭉,루리리,코코파스,에나비,델케티,깜까미,입치트,가보리,갱도라,보스로라,요가랑,요가램,썬더라이,썬더볼트,플러시,마이농,볼비트,네오비트,로젤리아,꼴깍몬,꿀꺽몬,샤프니아,샤크니아,고래왕자,고래왕,둔타,폭타,코터스,피그점프,피그킹,얼루기,톱치,비브라바,플라이곤,선인왕,밤선인,파비코,파비코리,쟝고,세비퍼,루나톤,솔록,미꾸리,메깅,가재군,가재장군,오뚝군,점토도리,릴링,릴리요,아노딥스,아말도,빈티나,밀로틱,캐스퐁,켈리몬,어둠대신,다크펫,해골몽,미라몽,트로피우스,치렁,앱솔,마자,눈꼬마,얼음귀신,대굴레오,씨레오,씨카이저,진주몽,헌테일,분홍장이,시라칸,사랑동이,아공이,쉘곤,보만다,메탕,메탕구,메타그로스,레지락,레지아이스,레지스틸,라티아스,라티오스,가이오가,그란돈,레쿠쟈,지라치,테오키스,모부기,수풀부기,토대부기,불꽃숭이,파이숭이,초염몽,팽도리,팽태자,엠페르트,찌르꼬,찌르버드,찌르호크,비버니,비버통,귀뚤뚜기,귀뚤톡크,꼬링크,럭시오,렌트라,꼬몽울,로즈레이드,두개도스,램펄드,방패톱스,바리톱스,도롱충이,도롱마담,나메일,세꿀버리,비퀸,파치리스,브이젤,플로젤,체리버,체리꼬,깝질무,트리토돈,겟핸보숭,흔들풍손,둥실라이드,이어롤,이어롭,무우마직,돈크로우,나옹마,몬냥이,랑딸랑,스컹뿡,스컹탱크,동미러,동탁군,꼬지지,흉내내,핑복,페라페,화강돌,딥상어동,한바이트,한카리아스,먹고자,리오르,루카리오,히포포타스,하마돈,스콜피,드래피온,삐딱구리,독개굴,무스틈니,형광어,네오라이트,타만타,눈쓰개,눈설왕,포푸니라,자포코일,내룸벨트,거대코뿌리,덩쿠림보,에레키블,마그마번,토게키스,메가자리,리피아,글레이시아,글라이온,맘모꾸리,폴리곤Z,엘레이드,대코파스,야느와르몽,눈여아,로토무,유크시,엠라이트,아그놈,디아루가,펄기아,히드런,레지기가스,기라티나,크레세리아,피오네,마나피,다크라이,쉐이미,아르세우스,비크티니,주리비얀,샤비,샤로다,뚜꾸리,차오꿀,염무왕,수댕이,쌍검자비,대검귀,보르쥐,보르그,요테리,하데리어,바랜드,쌔비냥,레파르다스,야나프,야나키,바오프,바오키,앗차프,앗차키,몽나,몽얌나,콩둘기,유토브,켄호로우,줄뮤마,제브라이카,단굴,암트르,기가이어스,또르박쥐,맘박쥐,두더류,몰드류,다부니,으랏차,토쇠골,노보청,동챙이,두까비,두빅굴,던지미,타격귀,두르보,두르쿤,모아머,마디네,휠구,펜드라,소미안,엘풍,치릴리,드레디어,배쓰나이,깜눈크,악비르,악비아르,달막화,불비달마,마라카치,돌살이,암팰리스,곤율랭,곤율거니,심보러,데스마스,데스니칸,프로토가,늑골라,아켄,아케오스,깨봉이,더스트나,조로아,조로아크,치라미,치라치노,고디탱,고디보미,고디모아젤,유니란,듀란,란쿨루스,꼬지보리,스완나,바닐프티,바닐리치,배바닐라,사철록,바라철록,에몽가,딱정곤,슈바르고,깜놀버슬,뽀록나,탱그릴,탱탱겔,맘복치,파쪼옥,전툴라,철시드,너트령,기어르,기기어르,기기기어르,저리어,저리릴,저리더프,리그레,벰크,불켜미,램프라,샹델라,터검니,액슨도,액스라이즈,코고미,툰베어,프리지오,쪼마리,어지리더,메더,비조푸,비조도,크리만,골비람,골루그,자망칼,절각참,버프론,수리둥보,워글,벌차이,버랜지나,앤티골,아이앤트,모노두,디헤드,삼삼드래,활화르바,불카모스,코바르온,테라키온,비리디온,토네로스,볼트로스,레시라무,제크로무,랜드로스,큐레무,케르디오,메로엣타,게노세크트,멜탄,멜메탈,아머드 뮤츠
1,이상해씨,풀,독,118,111,128,494,477,637,796,955,1035,1115,3 km,20%,10%,덩굴채찍,14,파워휩,41.5,덩굴채찍,14,오물폭탄,41.7
2,이상해풀,풀,독,151,143,155,363,728,970,1213,1456,1577,1699,3 km,10%,7%,덩굴채찍,14,파워휩,41.5,잎날가르기,15.6,솔라빔,44.1
3,이상해꽃,풀,독,198,189,190,137,1166,1554,1943,2332,2526,2720,3 km,5%,5%,덩굴채찍,14,하드플랜트,46.2,잎날가르기,15.6,하드플랜트,46.2
4,파이리,불꽃,NONE,116,93,118,542,420,560,700,840,910,980,3 km,20%,10%,불꽃세례,12,화염방사,38.2,불꽃세례,12,니트로차지,22.1
5,리자드,불꽃,NONE,158,126,151,374,708,944,1180,1417,1535,1653,3 km,10%,7%,불꽃엄니,14.7,화염방사,38.2,불꽃세례,12,화염방사,38.2
6,리자몽,불꽃,비행,223,173,186,106,1238,1651,2064,2476,2683,2889,3 km,5%,5%,회오리불꽃,15.3,블러스트번,40,회오리불꽃,15.3,블러스트번,40
7,꼬부기,물,NONE,94,121,127,560,405,540,675,810,878,946,3 km,20%,10%,거품,12,아쿠아테일,31.6,거품,12,아쿠아테일,31.6
8,어니부기,물,NONE,126,155,153,399,637,850,1063,1275,1382,1488,3 km,10%,7%,물대포,12,하이드로펌프,47.3,물대포,12,냉동빔,27.3
9,거북왕,물,NONE,171,207,188,184,1057,1409,1761,2113,2290,2466,3 km,5%,5%,물대포,12,하이드로캐논,56.8,물대포,12,하이드로캐논,56.8
10,캐터피,벌레,NONE,55,55,128,641,187,249,312,374,406,437,1 km,50%,20%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
11,단데기,벌레,NONE,45,80,137,640,193,257,321,386,418,450,1 km,25%,9%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
12,버터플,벌레,비행,167,137,155,334,783,1044,1305,1566,1696,1827,1 km,12.5%,6%,염동력,12.5,벌레의야단법석,29.2,염동력,12.5,벌레의야단법석,29.2
13,뿔충이,벌레,독,63,50,120,639,195,260,325,391,423,456,1 km,50%,20%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
14,딱충이,벌레,독,46,75,128,642,185,246,308,370,401,432,1 km,25%,9%,벌레먹음,12,발버둥,15.9,벌레먹음,12,발버둥,15.9
15,독침붕,벌레,독,169,130,163,330,791,1054,1318,1582,1714,1846,1 km,12.5%,6%,독찌르기,15,오물폭탄,41.7,엉겨붙기,10.9,오물폭탄,41.7
16,구구,노말,비행,85,73,120,613,291,388,486,583,632,680,1 km,50%,20%,전광석화,12,제비반환,27.5,전광석화,12,제비반환,27.5
17,피죤,노말,비행,117,105,160,268,512,682,853,1024,1109,1194,1 km,25%,9%,날개치기,12,제비반환,27.5,날개치기,12,제비반환,27.5
18,피죤투,노말,비행,166,154,195,268,912,1216,1521,1825,1977,2129,1 km,12.5%,6%,에어슬래시,14,폭풍,48.9,에어슬래시,14,제비반환,27.5
19,꼬렛,노말,NONE,103,70,102,604,315,419,524,630,682,734,1 km,50%,20%,전광석화,12,필살앞니,38.4,전광석화,12,필살앞니,38.4
20,레트라,노말,NONE,161,139,146,352,741,989,1236,1483,1607,1730,1 km,20%,7%,전광석화,12,파괴광선,47.4,전광석화,12,파괴광선,47.4
21,깨비참,노말,비행,112,60,120,593,342,456,570,684,741,798,1 km,50%,15%,전광석화,12,불새,48,쪼기,12,불새,48
22,깨비드릴조,노말,비행,182,133,163,304,855,1141,1426,1711,1854,1997,1 km,20%,7%,쪼기,12,불새,48,쪼기,12,불새,48
23,아보,독,NONE,110,97,111,319,397,529,662,795,861,927,3 km,50%,15%,용해액,13.5,오물폭탄,41.7,용해액,13.5,오물폭탄,41.7
24,아보크,독,NONE,167,153,155,319,823,1097,1372,1646,1783,1921,3 km,20%,7%,용해액,13.5,더스트슈트,50.3,드래곤테일,13.6,더스트슈트,50.3
25,피카츄,전기,NONE,112,96,111,562,402,536,670,804,871,938,1 km,20%,10%,전기쇼크,10,와일드볼트,41.5,전광석화,10,와일드볼트,41.5
26,라이츄,전기,NONE,193,151,155,254,935,1247,1558,1870,2026,2182,1 km,10%,6%,스파크,10.3,와일드볼트,41.5,볼트체인지,10.4,와일드볼트,41.5
27,모래두지,땅,NONE,126,120,137,446,540,720,901,1081,1171,1261,3 km,50%,10%,머드숏,10,구멍파기,25.5,머드숏,10,구멍파기,25.5
28,고지,땅,NONE,182,175,181,207,1017,1356,1696,2035,2204,2374,3 km,20%,6%,메탈크로우,11.4,지진,40,메탈크로우,11.4,땅고르기,27.4
29,니드런♀,독,NONE,86,89,146,590,349,466,583,699,757,816,3 km,50%,15%,독침,10,오물폭탄,41.7,독침,10,오물폭탄,41.7
30,니드리나,독,NONE,117,120,172,435,561,748,935,1122,1216,1309,3 km,25%,7%,독침,10,오물폭탄,41.7,독침,10,오물폭탄,41.7
31,니드퀸,독,땅,180,173,207,180,1066,1421,1777,2132,2310,2488,3 km,12.5%,5%,독찌르기,15,대지의힘,33.3,독찌르기,15,대지의힘,33.3
32,니드런♂,독,NONE,105,76,130,576,369,491,614,737,799,860,3 km,50%,15%,독침,10,오물폭탄,41.7,쪼기,10,오물폭탄,41.7
33,니드리노,독,NONE,137,111,156,413,597,796,995,1194,1294,1393,3 km,25%,7%,독찌르기,15,오물폭탄,41.7,독찌르기,15,오물폭탄,41.7
34,니드킹,독,땅,204,156,191,163,1100,1466,1833,2200,2383,2567,3 km,12.5%,5%,독찌르기,15,대지의힘,33.3,독찌르기,15,대지의힘,33.3
35,삐삐,페어리,NONE,107,108,172,484,495,660,825,990,1073,1155,1 km,30%,10%,막치기,11.7,문포스,40,사념의박치기,10.9,차밍보이스,21.5
36,픽시,페어리,NONE,178,162,216,193,1044,1392,1741,2089,2263,2437,1 km,10%,6%,Charm Fast,16,코멧펀치,38.5,Charm Fast,16,코멧펀치,38.5
37,식스테일,불꽃,NONE,96,109,116,571,378,504,631,757,820,883,3 km,30%,10%,불꽃세례,12,화염방사,38.2,불꽃세례,12,니트로차지,22.1
38,나인테일,불꽃,NONE,169,190,177,239,977,1302,1628,1954,2117,2279,3 km,10%,6%,회오리불꽃,15.3,오버히트,48,회오리불꽃,15.3,오버히트,48
39,푸린,노말,페어리,80,41,251,606,310,413,517,620,672,724,1 km,50%,10%,막치기,14,매지컬샤인,34.3,속여때리기,11.1,치근거리기,37.2
40,푸크린,노말,페어리,156,90,295,317,825,1101,1376,1651,1789,1926,1 km,20%,6%,막치기,14,파괴광선,47.4,Charm Fast,16,치근거리기,37.2
